Item_no,Description,BRANCH,QUANTITY_IN_PCS, UNIT_PRICE , AMOUNT ,MONTH
ITM00129,ADOVAS SYP 100ML HERBAL,EMBU,7,248.68,"1,740.73",FEBRUARY
ITM09337,"C-CLAV SUSPESION 100ML (CEFIXIME & CLAVULANATE)	",EMBU,8,900,"7,200.00",JUNE
ITM08868,DEEP RELIEF GEL 30MG,EMBU,9,604.84,"5,443.55",APRIL
ITM03176,HEMSAMIC 500MG INJ,EMBU,10,190,"1,900.00",FEBRUARY
ITM04731,OPTIVE PLUS EYE DROP 10ML,EMBU,10,"1,454.00","14,540.00",FEBRUARY
ITM09115,CEFIXIME CEF-OD SUSP 100MG/5ML 30ML,EMBU,10,287.04,"2,870.42",FEBRUARY
ITM01447,CLARIE DS 125MG/5ML 50ML,EMBU,10,735,"7,350.00",MARCH
ITM05495,SCABION LOTION 60ML,EMBU,12,275.77,"3,309.18",JANUARY
ITM09345,OPTIVE GEL DROPS 10ML,EMBU,12,"1,496.00","17,952.00",MAY
ITM04469,NEXIUM 40MG 14s,EMBU,14,73.15,"1,024.12",FEBRUARY
ITM05714,SUBSYDE GEL,EMBU,14,287.04,"4,018.59",FEBRUARY
ITM02437,ESCLAM KIT 7`S,EMBU,14,354.41,"4,961.73",JULY
ITM08803,SOLO 4MG SACHETS 14`S,EMBU,14,49.71,696,MAY
ITM06047,TRICAL TABS 15S,EMBU,15,25.6,384,FEBRUARY
ITM09293,TOBI-D EYE DROPS,EMBU,15,186,"2,790.00",MAY
ITM02108,DIPROFOS INJ 2M L(ORIGINAL),EMBU,16,"1,300.00","20,800.00",MAY
ITM01471,CLAVULIN 457MG/5ML SUSP,EMBU,18,"1,123.00","20,214.00",MAY
ITM00854,BONNY KID SYRUP 120ML,EMBU,18,199.9,"3,598.28",MARCH
ITM08309,ELAXIC P TABS 10`S,EMBU,20,6.66,133.27,MAY
ITM03868,LYDIA POST PILLS,EMBU,25,35.88,897.01,MAY
ITM06032,TRESDERM CREAM 30G,EMBU,26,97.39,"2,532.12",APRIL
ITM04177,MONTANA 10MG 14S,EMBU,28,68.21,"1,910.00",MAY
ITM09039,PYLO-40 (H PYLORI KIT)7'S,EMBU,28,314.29,"8,800.00",MARCH
ITM04438,NEUROCARE D  30S,EMBU,30,59.33,"1,780.00",FEBRUARY
ITM00583,AVODART CAPS 0.5MG 30S,EMBU,30,90.73,"2,722.00",JANUARY
ITM02118,DIRACIP 100ML SYP,EMBU,34,259.51,"8,823.34",JUNE
ITM09076,ZOKIT 7'S,EMBU,35,105,"3,675.00",FEBRUARY
ITM08842,GI KIT 7`S,EMBU,35,425.57,"14,895.00",MAY
ITM02391,EPICOGEL SUSP 180ML,EMBU,38,316.77,"12,037.31",JUNE
ITM03419,ITRACONAZOLE CAPS 4S (ITRANOX)100MG,EMBU,40,90,"3,600.00",MAY
ITM06132,UBINEXT-LC TABS 10S,EMBU,40,51.4,"2,056.00",JUNE
ITM06356,VOMISTOP 2*10,EMBU,40,15.63,625.34,JULY
ITM07209,SCALPEL DISPOSABLE BLADES 23G (10`S),EMBU,40,29.63,"1,185.07",MARCH
ITM07122,INOSITA PLUS 50/500MG TABS 28`s,EMBU,42,60,"2,520.00",FEBRUARY
ITM06406,XARELTO TABS 15MG 14s,EMBU,42,139.29,"5,850.00",MAY
ITM05353,RHINATHIOL PROMETHAZINE 125ML,EMBU,46,640.72,"29,473.06",MAY
ITM03807,LONART SUSP 60ML,EMBU,48,137,"6,576.00",MAY
ITM01355,CHLORAMPHENICOL INJ,EMBU,50,60.48,"3,024.19",JANUARY
ITM05295,RASEC MR TABS 10S,EMBU,50,66,"3,300.00",JUNE
ITM08835,LAXICO FIBRE 15G SACHET 10`S (SUGAR FREE ORANGE FLAVOUR),EMBU,50,92.26,"4,613.18",MARCH
ITM02936,GALVUSMET 50/1000MG 30S,EMBU,50.1,120.3,"6,027.03",FEBRUARY
ITM06493,ZESTORETIC TABS 20MG 28s,EMBU,56,97.32,"5,450.00",JANUARY
ITM08189,FERTILION-F PLUS TABS 30`S,EMBU,60,69.37,"4,162.11",FEBRUARY
ITM03802,LOLIP 10MG TABS 30S,EMBU,60,7.18,430.56,JANUARY
ITM04062,METPURE XL 50MG 30s,EMBU,60,65.33,"3,920.00",MAY
ITM04653,OLIGOCARE FORTE 20S,EMBU,60,37.83,"2,269.68",MAY
ITM06522,ZINCOVIT TABS TABS 30S,EMBU,60,24.3,"1,458.00",MAY
ITM09120,VERTEASE 8MG 30'S,EMBU,60,9.4,563.83,APRIL
ITM09123,ROSANOVA TABLETS 20MG 30'S,EMBU,60,21.15,"1,269.14",MARCH
ITM05800,SYNAGAB 100MG 14`S (PREGABALIN),EMBU,70,40.93,"2,865.00",FEBRUARY
ITM05838,TASMI 40MG TABS 14s,EMBU,70,65.86,"4,610.00",FEBRUARY
ITM05839,TASMI TABS 80MG 14S,EMBU,70,94.36,"6,605.00",MAY
ITM09034,NERVIJEN CAPSULES 30'S,EMBU,90,38.44,"3,459.88",MARCH
ITM05061,POLYGYNAX 12S,EMBU,96,111.17,"10,672.00",JANUARY
ITM00664,BACTIGRAS 100MM*100MM  10S,EMBU,100,215.28,"21,528.15",MAY
ITM06581,ZYRTAL OD TABS 200MG 20s,EMBU,100,38.2,"3,820.00",JUNE
ITM09167,GETRYL 3MG TABS 20'S,EMBU,100,52.15,"5,215.00",JUNE
ITM03398,IROVEL 300MG 30S,EMBU,120,103.33,"12,400.00",FEBRUARY
ITM03975,MEFTAL SPAS 250MG+10MG TABS 60`S,EMBU,120,17.5,"2,100.00",MAY
ITM03872,LYRICA 75MG 28S,EMBU,140,143.14,"20,040.00",APRIL
ITM07200,COEMPAKEN 5/500MG 28`S,EMBU,140,77.71,"10,880.00",MAY
ITM09110,ESOMEPRAZOLE TABS 40MG (ESONEX) 28'S,EMBU,140,32.22,"4,510.66",MARCH
ITM09418,RABEZOLE DSR CAPS 10`S (RABEPRAZOLE+DOMPERIDONE),EMBU,140,17.94,"2,511.62",MAY
ITM09111,ESOMEPRAZOLE TABS 20MG (ESONEX) 28'S,EMBU,140,21.24,"2,972.93",MARCH
ITM08274,TIBINA 20MG TABS 30`S,EMBU,150,29.97,"4,495.00",JANUARY
ITM02920,GABICA 100MG 35S,EMBU,175,73.26,"12,820.00",MAY
ITM02489,ESOSE TABS 20MG 10S,EMBU,180,32.3,"5,814.00",APRIL
ITM04775,OSTEOCARE CHEWABLE 30S,EMBU,180,32.5,"5,850.00",JUNE
ITM03871,LYRICA 150MG 28s,EMBU,196,143.14,"28,056.00",APRIL
ITM07264,MEDICAINE INJECTION 2% 50`S,EMBU,250,49.82,"12,455.57",MAY
ITM03080,GOOD MORNING 60ML,EMBU,261,87,"22,707.00",JUNE
ITM03964,MEDROL 4MG 30S,EMBU,270,25.33,"6,840.00",MAY
ITM05567,SEVEN SEAS ONE A DAY 60s,EMBU,300,29.62,"8,885.00",MARCH
ITM07067,CLAMOXIN 228.5 SUSP,EMBU,390,229,"89,310.00",MAY
ITM09844,FLUCOXACILLIN (VABIOTIC) 500MG CAPS 30`S,EMBU,600,9.91,"5,945.87",JUNE
ITM05752,SURGICAL 001,EMBU,1600,30.75,"49,207.20",APRIL
ITM08125,SALOREX TABS 100`S,EMBU,2000,6.66,"13,326.95",MARCH
ITM01434,CLAMOXIN 1GM 10S,EMBU,2160,10.9,"23,544.00",APRIL
ITM00825,BISACODYL 5MG TABS GENERIC 28`S,EMBU,3556,0.7,"2,473.68",FEBRUARY
ITM03155,HEDEX TABS 100s,EMBU,4030,3.2,"12,884.92",MARCH
ITM02893,FUNGITER CREAM 15 GMS,MOMBASA WHOLESALE,1,310,310,MAY
ITM05548,SEPTRIN 100ML,MOMBASA WHOLESALE,1,371,371,FEBRUARY
ITM00404,ANTI ACNE SOAP 75G,MOMBASA WHOLESALE,1,205.03,205.03,MAY
ITM03092,GRAMOCEF O SUSP 100MG 100ML,MOMBASA WHOLESALE,1,"1,165.00","1,165.00",APRIL
ITM05411,ROUND OFF,MOMBASA WHOLESALE,1,0.26,0.26,JUNE
ITM05509,SECNID SUSP 10ML,MOMBASA WHOLESALE,1,97.39,97.39,FEBRUARY
ITM06111,TUSICOFF LINCTUS MIX 100ML,MOMBASA WHOLESALE,1,102.52,102.52,FEBRUARY
ITM07437,SOLUCOF WET COUGH 100ML,MOMBASA WHOLESALE,1,126.09,126.09,FEBRUARY
ITM07851,DICLOFENAC (DICLO-GEL)  GEL 20GM,MOMBASA WHOLESALE,1,20.5,20.5,MARCH
ITM08347,CIPROFLOXACIN EYE/EAR DROP 5ML(PHARMAZOXAN,MOMBASA WHOLESALE,1,137.37,137.37,JUNE
ITM05979,CPM TORAMIN 60ML,MOMBASA WHOLESALE,2,26.65,53.31,FEBRUARY
ITM08816,NOVACOL INFANT DROPS,MOMBASA WHOLESALE,2,194.78,389.56,FEBRUARY
ITM06089,TRIOHIST 60ML EXP,MOMBASA WHOLESALE,2,76.89,153.77,FEBRUARY
ITM00730,BENYLIN WET COUGH MENTHOL 100ML,MOMBASA WHOLESALE,2,750,"1,500.00",MAY
ITM07193,FOSFOMAX GRANULES 3G,MOMBASA WHOLESALE,2,"1,504.00","3,008.00",APRIL
ITM00393,ANTACID NOVELTA 100ML,MOMBASA WHOLESALE,3,112.77,338.3,MARCH
ITM01471,CLAVULIN 457MG/5ML SUSP,MOMBASA WHOLESALE,3,"1,123.00","3,369.00",MAY
ITM00394,ANTACID NOVELTA SUSP 200ML,MOMBASA WHOLESALE,3,166.07,498.22,FEBRUARY
ITM02200,DUOLAC SYP 200ML,MOMBASA WHOLESALE,3,480,"1,440.00",JUNE
ITM02760,FLUCONAZOLE FLUGAL SUSP,MOMBASA WHOLESALE,3,271.66,814.99,MAY
ITM06432,X-TONE SYRUP 200ML,MOMBASA WHOLESALE,3,430.56,"1,291.69",MARCH
ITM01927,DEEP HEAT 35GMS,MOMBASA WHOLESALE,3,272,816,MAY
ITM05439,SAFERON  SYRUP 150ML,MOMBASA WHOLESALE,3,417,"1,251.00",MAY
ITM08541,CADIRON SYP 200ML,MOMBASA WHOLESALE,3,234.76,704.28,MAY
ITM03176,HEMSAMIC 500MG INJ,MOMBASA WHOLESALE,4,190,760,FEBRUARY
ITM06109,TUSICOF CHESTY SYP 100ML,MOMBASA WHOLESALE,4,102.52,410.06,FEBRUARY
ITM03258,HYDRYLLIN SYP 120ML,MOMBASA WHOLESALE,4,171,684,JUNE
ITM09043,FRINASE NASAL SPRAY,MOMBASA WHOLESALE,4,768.86,"3,075.45",JUNE
ITM09345,OPTIVE GEL DROPS 10ML,MOMBASA WHOLESALE,5,"1,496.00","7,480.00",MAY
ITM02756,FLUCONAZOLE CRIPTOCAN SUSP 35ML,MOMBASA WHOLESALE,5,300,"1,500.00",MAY
ITM01447,CLARIE DS 125MG/5ML 50ML,MOMBASA WHOLESALE,5,735,"3,675.00",MAY
ITM00801,BIOCOF SYP 60ML,MOMBASA WHOLESALE,5,41.01,205.03,MAY
ITM01959,DEPO MEDROL 40MG,MOMBASA WHOLESALE,5,760,"3,800.00",MAY
ITM00886,BRONKOF 60ML,MOMBASA WHOLESALE,5,101.49,507.45,FEBRUARY
ITM05664,SPINAL NEEDLES-22G 50S,MOMBASA WHOLESALE,5,76.89,384.43,APRIL
ITM02343,ENDOTRACHEAL TUBE 4 5MM(UNCUFFED),MOMBASA WHOLESALE,5,92.26,461.32,JUNE
ITM00805,BIOFREEZ ROLL-ON,MOMBASA WHOLESALE,6,405,"2,430.00",MAY
ITM05714,SUBSYDE GEL,MOMBASA WHOLESALE,6,287.04,"1,722.25",FEBRUARY
ITM01657,CONTUS PAEDITRIC LINTUS 100ML,MOMBASA WHOLESALE,6,300,"1,800.00",APRIL
ITM08868,DEEP RELIEF GEL 30MG,MOMBASA WHOLESALE,7,604.84,"4,233.87",APRIL
ITM04012,MENTHODEX COUGH MIX 100ML,MOMBASA WHOLESALE,7,290,"2,030.00",APRIL
ITM09394,ALCOSED SYP 100ML,MOMBASA WHOLESALE,9,51.26,461.32,FEBRUARY
ITM02891,FUNGITER 250MG 10S,MOMBASA WHOLESALE,10,62,620,FEBRUARY
ITM04731,OPTIVE PLUS EYE DROP 10ML,MOMBASA WHOLESALE,10,"1,454.00","14,540.00",FEBRUARY
ITM05848,TEARS NATURALE 15ML,MOMBASA WHOLESALE,10,609.96,"6,099.64",MAY
ITM00064,ACP TABS 30S,MOMBASA WHOLESALE,10,12.1,120.97,FEBRUARY
ITM01825,CTX OSSTRIM 100ML,MOMBASA WHOLESALE,12.9,30.75,396.73,MAY
ITM06201,VAGICLIN PLUS PESS 7s,MOMBASA WHOLESALE,14,142.86,"2,000.00",APRIL
ITM00566,AUROPRED 0 5% DROPS 10ML,MOMBASA WHOLESALE,18,240.91,"4,336.38",MAY
ITM02171,DOXAFIN 5MG TABS 20s,MOMBASA WHOLESALE,20,17.5,350,MARCH
ITM07520,SALBUTAMOL VENTOSAL 100ML,MOMBASA WHOLESALE,20,27.68,553.58,APRIL
ITM09418,RABEZOLE DSR CAPS 10`S (RABEPRAZOLE+DOMPERIDONE),MOMBASA WHOLESALE,20,17.94,358.8,MAY
ITM06166,UNIORTHO 500MG TABS 10S,MOMBASA WHOLESALE,20,148,"2,960.00",APRIL
ITM02340,ENCORATE CHRONO 500MG 30,MOMBASA WHOLESALE,20,56.67,"1,133.33",APRIL
ITM02391,EPICOGEL SUSP 180ML,MOMBASA WHOLESALE,27,316.77,"8,552.83",JUNE
ITM06032,TRESDERM CREAM 30G,MOMBASA WHOLESALE,28,97.39,"2,726.90",APRIL
ITM01802,CRESTOR TABS 10MG 28S,MOMBASA WHOLESALE,28,101.75,"2,849.00",JUNE
ITM03171,HEMOTON S SYP 250ML,MOMBASA WHOLESALE,30,169.15,"5,074.49",JUNE
ITM05438,SAFECAL TABS 30S,MOMBASA WHOLESALE,30,24.6,738,FEBRUARY
ITM02633,FERTILION M CAPS 30s,MOMBASA WHOLESALE,30,58.97,"1,769.00",JUNE
ITM00664,BACTIGRAS 100MM*100MM  10S,MOMBASA WHOLESALE,30,215.28,"6,458.45",MAY
ITM03749,LIPITOR 20MG 30s,MOMBASA WHOLESALE,30,132.73,"3,982.00",MARCH
ITM01761,COX B 200MG  50s,MOMBASA WHOLESALE,30,37.42,"1,122.54",MAY
ITM04369,NEBILONG 10MG 30S,MOMBASA WHOLESALE,30,57.63,"1,729.00",JUNE
ITM07726,DAPAFLO M 5/1000 TABS 30`S,MOMBASA WHOLESALE,30,45.79,"1,373.70",MARCH
ITM05353,RHINATHIOL PROMETHAZINE 125ML,MOMBASA WHOLESALE,31,640.72,"19,862.28",MAY
ITM09293,TOBI-D EYE DROPS,MOMBASA WHOLESALE,33,186,"6,138.00",MAY
ITM01207,CEFUROXIME INJECTION 750MG,MOMBASA WHOLESALE,35,91.24,"3,193.34",MAY
ITM00851,BONJELA TEETHING GEL ADULT,MOMBASA WHOLESALE,36,"1,219.93","43,917.43",MAY
ITM02928,GABICA CAPS 300MG 14s,MOMBASA WHOLESALE,42,133.07,"5,589.00",MAY
ITM02184,DREZ V GEL,MOMBASA WHOLESALE,48,499,"23,952.00",APRIL
ITM03868,LYDIA POST PILLS,MOMBASA WHOLESALE,50,35.88,"1,794.01",MAY
ITM02489,ESOSE TABS 20MG 10S,MOMBASA WHOLESALE,50,32.3,"1,615.00",APRIL
ITM05295,RASEC MR TABS 10S,MOMBASA WHOLESALE,50,66,"3,300.00",JUNE
ITM01235,CELCOXX CAPS 200MG 50S,MOMBASA WHOLESALE,50,55.8,"2,790.00",APRIL
ITM02485,ESOMEPRAZOLE (ESOPRA)TABS 40MG 10S,MOMBASA WHOLESALE,50,25,"1,250.00",APRIL
ITM07200,COEMPAKEN 5/500MG 28`S,MOMBASA WHOLESALE,56,77.71,"4,352.00",JUNE
ITM03872,LYRICA 75MG 28S,MOMBASA WHOLESALE,56,143.14,"8,016.00",APRIL
ITM02580,FEBO G TABS 40MG 20s,MOMBASA WHOLESALE,60,89.05,"5,343.10",MARCH
ITM09127,GINSOVIT TABLETS 30'S,MOMBASA WHOLESALE,60,49.93,"2,996.00",FEBRUARY
ITM02779,FLUCONAZOLE(GVFLUC) SUSP 50MG 35ML,MOMBASA WHOLESALE,61,224.51,"13,694.98",APRIL
ITM00340,AMOXICLAV (CLAXY) 1 2MG INJ 1S,MOMBASA WHOLESALE,64,139.42,"8,922.91",APRIL
ITM06332,VITAMIN K INJ 2MG  PAED 5S,MOMBASA WHOLESALE,65,114,"7,410.00",JUNE
ITM03419,ITRACONAZOLE CAPS 4S (ITRANOX)100MG,MOMBASA WHOLESALE,72,90,"6,480.00",MAY
ITM07199,COEMPAKEN 5/1000MG 28`S,MOMBASA WHOLESALE,84,87.46,"7,347.00",JUNE
ITM09110,ESOMEPRAZOLE TABS 40MG (ESONEX) 28'S,MOMBASA WHOLESALE,84,32.22,"2,706.40",MARCH
ITM03398,IROVEL 300MG 30S,MOMBASA WHOLESALE,90,103.33,"9,300.00",JANUARY
ITM03173,HEMOVIT CAPS 30s,MOMBASA WHOLESALE,90,6,540,JUNE
ITM02991,GINESOMEGA 30S,MOMBASA WHOLESALE,90,38.33,"3,450.00",JUNE
ITM05067,POLYTROL EYE DROPS,MOMBASA WHOLESALE,91,210.36,"19,142.83",MAY
ITM02887,FUNGISIL 250MG TABS 10`S (TERBINAFINE),MOMBASA WHOLESALE,100,96,"9,600.00",MARCH
ITM07862,ORTHOLAX TABS 10'S,MOMBASA WHOLESALE,100,65,"6,500.00",MARCH
ITM07264,MEDICAINE INJECTION 2% 50`S,MOMBASA WHOLESALE,100,49.82,"4,982.23",MAY
ITM02920,GABICA 100MG 35S,MOMBASA WHOLESALE,105,73.26,"7,692.00",MAY
ITM02016,DEXTROSE 50% 100ML,MOMBASA WHOLESALE,106,112,"11,872.00",MAY
ITM04199,MONTIGET 4MG  14s,MOMBASA WHOLESALE,112,35.51,"3,977.58",MAY
ITM02936,GALVUSMET 50/1000MG 30S,MOMBASA WHOLESALE,120,120.3,"14,436.00",FEBRUARY
ITM02926,GABICA CAPS 150MG 35s,MOMBASA WHOLESALE,120,93.83,"11,259.43",MAY
ITM03975,MEFTAL SPAS 250MG+10MG TABS 60`S,MOMBASA WHOLESALE,120,17.5,"2,100.00",MAY
ITM02671,FLAMACOR MR TABS 30s,MOMBASA WHOLESALE,120,18,"2,160.00",APRIL
ITM03807,LONART SUSP 60ML,MOMBASA WHOLESALE,136,137,"18,632.00",JUNE
ITM00575,AVALIFE ADVANCE RESCUE CAPS 30S,MOMBASA WHOLESALE,150,47.2,"7,080.00",APRIL
ITM00847,BONECARE TABS PLUS 30S,MOMBASA WHOLESALE,150,21.07,"3,160.00",MAY
ITM02118,DIRACIP 100ML SYP,MOMBASA WHOLESALE,158,259.51,"41,002.58",JUNE
ITM02666,FIZZIMOL 500MG TABS 16S,MOMBASA WHOLESALE,160,16.02,"2,562.88",MAY
ITM04438,NEUROCARE D  30S,MOMBASA WHOLESALE,180,59.33,"10,680.00",FEBRUARY
ITM04177,MONTANA 10MG 14S,MOMBASA WHOLESALE,182,68.21,"12,415.00",MAY
ITM08460,MEFTAN PLUS 10:5MG F/C TABS 28`S(MONTELUKAST+LEVOCETRIZINE),MOMBASA WHOLESALE,196,33.93,"6,650.00",FEBRUARY
ITM04178,MONTANA 5MG 14S,MOMBASA WHOLESALE,210,56.93,"11,955.00",MAY
ITM04366,NEBILET 5MG 28S,MOMBASA WHOLESALE,210,93.07,"19,545.00",JUNE
ITM01355,CHLORAMPHENICOL INJ,MOMBASA WHOLESALE,226,60.48,"13,669.35",JANUARY
ITM01611,COLDAMOL CAPS 10s,MOMBASA WHOLESALE,270,7.07,"1,909.85",FEBRUARY
ITM02492,ESOSE TABS 40MG 30S,MOMBASA WHOLESALE,270,56.13,"15,156.00",MARCH
ITM01318,CETRIZINE RHIZIN TABS 100s,MOMBASA WHOLESALE,400,1.32,528.98,JANUARY
ITM06096,TRIPPLE PEN 3 INJ,MOMBASA WHOLESALE,402,30.75,"12,363.31",JUNE
ITM04347,NAT B CAS 30s,MOMBASA WHOLESALE,480,37.43,"17,968.00",JUNE
ITM00825,BISACODYL 5MG TABS GENERIC 28`S,MOMBASA WHOLESALE,756,0.7,525.9,MARCH
ITM08842,GI KIT 7`S,MOMBASA WHOLESALE,770,425.57,"327,690.00",MAY
ITM05713,SUBSYDE CR 10`S,MOMBASA WHOLESALE,890,9.5,"8,455.00",MAY
ITM03880,LYSODOL MR 30s,MOMBASA WHOLESALE,990,20.33,"20,128.82",MAY
ITM01434,CLAMOXIN 1GM 10S,MOMBASA WHOLESALE,1100,10.9,"11,990.00",APRIL
ITM09076,ZOKIT 7'S,MOMBASA WHOLESALE,1379,105,"144,795.00",FEBRUARY
ITM02334,ENARIL 5MG 100S BEXIMCO,MOMBASA WHOLESALE,2700,4.46,"12,040.39",MARCH
ITM03155,HEDEX TABS 100s,MOMBASA WHOLESALE,7900,3.2,"25,258.28",FEBRUARY
ITM09418,RABEZOLE DSR CAPS 10`S (RABEPRAZOLE+DOMPERIDONE),KITUI WHOLESALE,10,17.94,179.4,MAY
ITM04369,NEBILONG 10MG 30S,KITUI WHOLESALE,30,57.63,"1,729.00",JUNE
ITM03414,ITACARE 100MG 10s,KITUI WHOLESALE,40,119.5,"4,780.00",JUNE
ITM03048,GLUCOWELL-MET 50:850 TABS 28S,KITUI WHOLESALE,56,67,"3,752.00",JUNE
ITM03073,GOFEN  400 CAPS 60`S (IBUPROFEN CAPS),KITUI WHOLESALE,120,29.17,"3,500.00",JUNE
ITM08604,LYSO BALM 9GM,KENDIA,1,32.8,32.8,APRIL
ITM02285,ELICA OINT 30G,KENDIA,2,850,"1,700.00",JANUARY
ITM01300,CETRIZINE ALTRINE SYRUP 60ML,KENDIA,3,82.01,246.04,FEBRUARY
ITM04162,MOMATE AZ NASAL SPRAY,KENDIA,4,"1,786.00","7,144.00",MAY
ITM05353,RHINATHIOL PROMETHAZINE 125ML,KENDIA,5,640.72,"3,203.59",MAY
ITM00139,AERIUS SYRUP 60MLS,KENDIA,6,"1,170.00","7,020.00",JANUARY
ITM02760,FLUCONAZOLE FLUGAL SUSP,KENDIA,8,271.66,"2,173.32",MAY
ITM04196,MONTERU KIDS 10S,KENDIA,10,81,810,JUNE
ITM01471,CLAVULIN 457MG/5ML SUSP,KENDIA,10,"1,123.00","11,230.00",JANUARY
ITM00942,CADISTIN SYP PLUS 100ML,KENDIA,12,184.53,"2,214.32",MARCH
ITM04980,PERNEX AC 5% GEL 20GM,KENDIA,13,456.75,"5,937.75",MAY
ITM02108,DIPROFOS INJ 2M L(ORIGINAL),KENDIA,14,"1,300.00","18,200.00",MAY
ITM05848,TEARS NATURALE 15ML,KENDIA,20,609.96,"12,199.29",MAY
ITM02913,GABANERVE TABLETS 10`S,KENDIA,20,112.77,"2,255.33",APRIL
ITM02779,FLUCONAZOLE(GVFLUC) SUSP 50MG 35ML,KENDIA,22,224.51,"4,939.17",APRIL
ITM04198,MONTIGET 10MG 14`S,KENDIA,28,73.86,"2,068.00",MAY
ITM01434,CLAMOXIN 1GM 10S,KENDIA,50,10.9,545,APRIL
ITM04637,OJEN OZ TABS 100S,KENDIA,60,27.5,"1,650.00",MAY
ITM03708,LEVOLUKAST 30S,KENDIA,60,64,"3,840.00",JUNE
ITM05175,PRODEP 20MG 60S FLUOXETIN,KENDIA,60,43.33,"2,600.00",JUNE
ITM05481,SARACAL M CAPS 10S,KENDIA,80,52,"4,160.00",JUNE
ITM04919,PCM ELYMOL 100ML,KENDIA,88,30.24,"2,661.29",JANUARY
ITM02633,FERTILION M CAPS 30s,KENDIA,90,58.97,"5,307.00",JUNE
ITM06528,ZINNAT 500MG 10S,KENDIA,100,131.73,"13,173.18",MARCH
ITM01355,CHLORAMPHENICOL INJ,KENDIA,100,60.48,"6,048.39",JANUARY
ITM01961,DEPREX 5MG 100S,KENDIA,100,15,"1,500.00",JANUARY
ITM03400,ISLIM CAPS 30S,KENDIA,150,37.59,"5,638.32",MARCH
ITM02680,FLATAMEAL DS 200s,KENDIA,200,6.73,"1,345.00",MAY
ITM03915,MANIX TABS 20S,KENDIA,380,32.55,"12,368.43",JANUARY
ITM07060,FALCIDIN TABLETS 3`S,KENDIA,804,19.48,"15,660.19",JUNE
ITM03155,HEDEX TABS 100s,KENDIA,1400,3.2,"4,476.15",FEBRUARY
ITM04672,OMEPRAZOLE 20MG CAPS(ZOCID) 100S,KENDIA,1600,1.32,"2,111.20",JUNE
ITM01471,CLAVULIN 457MG/5ML SUSP,KAWANGWARE WHOLESALE,1,"1,123.00","1,123.00",MAY
ITM00501,ASOMEX D 2.5MG TABS 30S,KAWANGWARE WHOLESALE,1,61.33,61.33,APRIL
ITM00840,BLOOD TRANSFUSION SET,KAWANGWARE WHOLESALE,1,26.65,26.65,JANUARY
ITM01802,CRESTOR TABS 10MG 28S,KAWANGWARE WHOLESALE,1,101.75,101.75,JUNE
ITM01965,DERIHALER INHALER 200DOSES,KAWANGWARE WHOLESALE,1,281.92,281.92,MARCH
ITM02301,EMANZEN FORTE TABS 30s,KAWANGWARE WHOLESALE,2,42,84,MAY
ITM07261,EPIMAR SYRUP 300ML,KAWANGWARE WHOLESALE,2,973.89,"1,947.79",JANUARY
ITM04177,MONTANA 10MG 14S,KAWANGWARE WHOLESALE,7,68.21,477.5,MAY
ITM02143,DOBESIL  H CREAM  30G,KAWANGWARE WHOLESALE,7,830.37,"5,812.60",JUNE
